week_start,sku_id,actual,ml_forecast,naive_forecast
2025-11-10,SKU001,12,18.22423821763455,18.0
2025-11-10,SKU002,80,99.66502220335666,99.0
2025-11-10,SKU003,53,48.05891711147138,38.0
2025-11-10,SKU004,45,41.73657089139064,42.0
2025-11-10,SKU005,71,73.44709397705,70.0
2025-11-10,SKU006,71,86.77847834521266,81.0
2025-11-10,SKU007,46,39.27154619832048,30.0
2025-11-10,SKU008,101,98.09351177601008,84.0
2025-11-10,SKU009,67,71.81510643218152,59.0
2025-11-10,SKU010,24,25.798329482843993,21.0
2025-11-10,SKU011,23,20.055008072965816,26.0
2025-11-10,SKU012,98,83.78605644093054,76.0
2025-11-10,SKU013,32,31.15362884364171,25.0
2025-11-10,SKU014,61,60.07079620291071,51.0
2025-11-10,SKU015,95,77.09523983774847,76.0
2025-11-10,SKU016,81,81.96896256551442,99.0
2025-11-10,SKU017,59,58.38913285507496,60.0
2025-11-10,SKU018,14,15.810156525597005,11.0
2025-11-10,SKU019,88,83.62615344597043,85.0
2025-11-10,SKU020,30,29.11714072026617,27.0
2025-11-10,SKU021,17,13.56879666100739,17.0
2025-11-10,SKU022,172,186.72630335811036,159.0
2025-11-10,SKU023,147,117.29025919913418,96.0
2025-11-10,SKU024,16,21.365837890101385,13.0
2025-11-10,SKU025,63,65.53232912934412,52.0
2025-11-10,SKU026,75,75.70652463640492,77.0
2025-11-10,SKU027,51,42.680367567693544,39.0
2025-11-10,SKU028,18,20.446383070281136,20.0
2025-11-10,SKU029,55,64.2234764087802,66.0
2025-11-10,SKU030,30,20.013748300090374,12.0
2025-11-10,SKU031,138,161.78796692821098,150.0
2025-11-10,SKU032,41,30.31061402240799,36.0
2025-11-10,SKU033,108,108.76794427437446,59.0
2025-11-10,SKU034,134,131.2272215574113,140.0
2025-11-10,SKU035,88,104.70325683010064,114.0
2025-11-10,SKU036,23,33.961750594880485,24.0
2025-11-10,SKU038,45,33.860325005734104,29.0
2025-11-10,SKU039,30,29.776718421157902,25.0
2025-11-10,SKU040,54,54.20744478604047,48.0
2025-11-10,SKU041,71,85.25466399618558,89.0
2025-11-10,SKU042,41,39.83990752014153,33.0
2025-11-10,SKU043,45,44.640916594952785,52.0
2025-11-10,SKU044,18,14.50835415549578,9.0
2025-11-10,SKU045,36,36.10486711139032,36.0
2025-11-10,SKU046,15,13.753413936936859,14.0
2025-11-10,SKU047,73,76.3968429454164,60.0
2025-11-10,SKU048,160,152.449700365598,149.0
2025-11-10,SKU049,44,36.073647649131665,33.0
2025-11-10,SKU050,75,76.15504676076351,75.0
2025-11-10,SKU051,224,190.72112593984966,194.0
2025-11-10,SKU052,23,20.00594769437223,19.0
2025-11-10,SKU053,159,165.1096061512352,151.0
2025-11-10,SKU055,40,56.82374023076126,43.0
2025-11-10,SKU056,74,76.34257249721297,78.0
2025-11-10,SKU057,31,35.425494902903665,33.0
2025-11-10,SKU058,161,145.3243890341409,122.0
2025-11-10,SKU059,71,77.32554645263487,56.0
2025-11-10,SKU060,54,56.54128211770307,49.0
2025-11-10,SKU061,121,110.25046887524034,107.0
2025-11-10,SKU062,37,37.31778566715626,30.0
2025-11-10,SKU063,48,42.901366074240606,36.0
2025-11-10,SKU064,90,73.14258063235694,69.0
2025-11-10,SKU065,17,11.778545582279316,17.0
2025-11-10,SKU066,93,111.83487688189003,93.0
2025-11-10,SKU067,35,52.701889101166756,43.0
2025-11-10,SKU068,66,65.36401963112854,62.0
2025-11-10,SKU069,74,62.71486077680685,55.0
2025-11-10,SKU071,92,97.72847142195165,77.0
2025-11-10,SKU072,97,100.03321324147859,98.0
2025-11-10,SKU073,79,98.2170963241376,72.0
2025-11-10,SKU074,66,74.10046619589933,74.0
2025-11-10,SKU075,39,34.095637099357056,23.0
2025-11-10,SKU076,32,33.690646166588316,30.0
2025-11-10,SKU077,70,73.27622323568154,66.0
2025-11-10,SKU078,143,126.62703885199187,109.0
2025-11-10,SKU079,55,73.84359994967338,67.0
2025-11-10,SKU080,23,31.362850381969757,35.0
2025-11-10,SKU081,71,86.16079988540436,76.0
2025-11-10,SKU082,22,25.378648161914402,21.0
2025-11-10,SKU083,94,75.45974917631193,74.0
2025-11-10,SKU084,59,55.64235650946989,54.0
2025-11-10,SKU085,221,215.33111531158906,222.0
2025-11-10,SKU086,83,80.61667105886517,67.0
2025-11-10,SKU087,33,30.09824033539725,10.0
2025-11-10,SKU088,23,19.152340689892654,19.0
2025-11-10,SKU089,48,56.01537746849506,49.0
2025-11-10,SKU090,83,73.36527259844145,73.0
2025-11-10,SKU091,33,39.526831445046746,30.0
2025-11-10,SKU092,44,56.48651134409312,47.0
2025-11-10,SKU093,63,73.0858319155924,59.0
2025-11-10,SKU094,297,253.67507034632038,261.0
2025-11-10,SKU095,485,481.39476190476205,447.0
2025-11-10,SKU096,51,58.17718511905735,56.0
2025-11-10,SKU097,25,27.40192257555274,22.0
2025-11-10,SKU098,257,247.12468181818184,262.0
2025-11-10,SKU099,78,84.86332139489068,83.0
2025-11-10,SKU100,170,159.5664340299194,174.0
2025-11-10,SKU101,31,35.108507116278645,36.0
2025-11-10,SKU102,56,57.023704253674076,50.0
2025-11-10,SKU103,65,74.92294467042468,74.0
2025-11-10,SKU104,42,50.478943628983146,50.0
2025-11-10,SKU105,47,42.626142491860776,38.0
2025-11-10,SKU106,61,75.78459593796403,64.0
2025-11-10,SKU107,21,26.690006495599455,28.0
2025-11-10,SKU108,28,28.022647178592997,29.0
2025-11-10,SKU109,44,32.97271209690415,40.0
2025-11-10,SKU110,31,31.064897273112642,31.0
2025-11-10,SKU111,198,199.29938492063488,152.0
2025-11-10,SKU112,27,31.839811748015013,28.0
2025-11-10,SKU113,57,46.9040117267459,44.0
2025-11-10,SKU114,201,195.09437990810366,193.0
2025-11-10,SKU115,35,27.513235117739526,22.0
2025-11-10,SKU116,127,121.02386911894713,106.0
2025-11-10,SKU117,46,34.1790554579838,24.0
2025-11-10,SKU118,28,31.73292978210327,31.0
2025-11-10,SKU119,48,50.60257145541982,47.0
2025-11-10,SKU120,49,47.33523536761918,40.0
2025-11-10,SKU121,49,54.0445720048913,34.0
2025-11-10,SKU122,69,72.01479200728413,67.0
2025-11-10,SKU123,52,53.986300008493735,43.0
2025-11-10,SKU124,63,48.1413377499242,44.0
2025-11-10,SKU125,32,34.57789088414811,32.0
2025-11-10,SKU126,97,103.2867677858077,111.0
2025-11-10,SKU127,141,142.91594840954846,141.0
2025-11-10,SKU128,98,89.17493084483228,76.0
2025-11-10,SKU129,50,55.34993634394007,48.0
2025-11-10,SKU130,145,174.02098070946312,135.0
2025-11-10,SKU131,6,9.474247311823083,11.0
2025-11-10,SKU132,49,57.58681244797848,65.0
2025-11-10,SKU133,46,51.673552897572215,58.0
2025-11-10,SKU134,21,17.10460186433906,18.0
2025-11-10,SKU135,52,56.179055113778524,51.0
2025-11-10,SKU136,11,13.809503554102248,13.0
2025-11-10,SKU137,17,18.285204524715954,9.0
2025-11-10,SKU138,37,36.87544258103861,42.0
2025-11-10,SKU139,106,116.74008672297482,109.0
2025-11-10,SKU140,63,58.14151472671546,60.0
2025-11-10,SKU141,61,56.10665643209569,51.0
2025-11-10,SKU142,28,34.2857556372149,28.0
2025-11-10,SKU143,115,103.2573387410817,90.0
2025-11-10,SKU144,26,29.21785792761162,17.0
2025-11-10,SKU145,256,227.8675128205129,224.0
2025-11-10,SKU146,40,34.76660833281321,34.0
2025-11-10,SKU147,65,62.80212669376198,54.0
2025-11-10,SKU148,59,55.92570496707543,54.0
2025-11-10,SKU149,99,101.61133214406965,108.0
2025-11-10,SKU150,40,33.94566946041105,32.0
2025-11-17,SKU001,14,19.658689179152518,16.0
2025-11-17,SKU002,108,107.54657188644688,141.0
2025-11-17,SKU003,49,72.50025060833703,60.0
2025-11-17,SKU004,68,64.8475529214574,47.0
2025-11-17,SKU005,114,102.76541396103896,95.0
2025-11-17,SKU006,107,105.8699639249639,112.0
2025-11-17,SKU007,39,64.42720425315424,49.0
2025-11-17,SKU008,135,127.77688986013987,120.0
2025-11-17,SKU009,102,103.79095459850606,105.0
2025-11-17,SKU010,29,34.80110588131912,28.0
2025-11-17,SKU011,23,22.832612499158355,24.0
2025-11-17,SKU012,114,113.87662100399596,103.0
2025-11-17,SKU013,35,42.826038841366426,30.0
2025-11-17,SKU014,81,98.34738479331128,87.0
2025-11-17,SKU015,106,110.48409870358391,143.0
2025-11-17,SKU016,82,107.45124603174604,127.0
2025-11-17,SKU017,59,88.16429386529387,82.0
2025-11-17,SKU018,24,16.775762876301084,16.0
2025-11-17,SKU019,117,106.8968592347195,113.0
2025-11-17,SKU020,43,43.64725902176017,37.0
2025-11-17,SKU021,22,17.745270263942697,18.0
2025-11-17,SKU022,252,269.6996031746032,249.0
2025-11-17,SKU023,170,176.76698077412783,143.0
2025-11-17,SKU024,19,21.023255535249458,19.0
2025-11-17,SKU025,83,96.31809090909096,98.0
2025-11-17,SKU026,114,102.11525162337662,97.0
2025-11-17,SKU027,47,66.31109209713787,57.0
2025-11-17,SKU028,28,23.22433206122527,25.0
2025-11-17,SKU029,87,88.91093249440245,78.0
2025-11-17,SKU030,18,21.82188709677713,19.0
2025-11-17,SKU031,246,200.05079014939315,202.0
2025-11-17,SKU032,36,44.695470537139855,23.0
2025-11-17,SKU033,128,144.07051648351649,124.0
2025-11-17,SKU034,165,181.1627896825397,180.0
2025-11-17,SKU035,131,107.25697069597067,132.0
2025-11-17,SKU036,42,44.51625053045635,34.0
2025-11-17,SKU038,43,61.09477610445397,53.0
2025-11-17,SKU039,26,42.1374988299073,28.0
2025-11-17,SKU040,58,81.39402490238521,75.0
2025-11-17,SKU041,125,106.07037301587302,151.0
2025-11-17,SKU042,57,63.03560499257364,59.0
2025-11-17,SKU043,75,69.80784520736843,72.0
2025-11-17,SKU044,16,21.98347839360098,24.0
2025-11-17,SKU045,51,53.16365440429582,47.0
2025-11-17,SKU046,28,14.551340204672595,14.0
2025-11-17,SKU047,94,103.49708614669646,101.0
2025-11-17,SKU048,181,211.68186554621855,200.0
2025-11-17,SKU049,53,60.51251496096782,59.0
2025-11-17,SKU050,88,107.22524577873108,116.0
2025-11-17,SKU051,261,298.9313095238096,297.0
2025-11-17,SKU052,21,22.829919030717,23.0
2025-11-17,SKU053,187,213.74570728291317,218.0
2025-11-17,SKU054,56,67.55258051894927,41.0
2025-11-17,SKU055,63,78.85590487799384,64.0
2025-11-17,SKU056,106,104.66436274509805,129.0
2025-11-17,SKU057,38,49.88956143445907,39.0
2025-11-17,SKU058,202,197.97971428571432,174.0
2025-11-17,SKU059,73,101.75709390136892,77.0
2025-11-17,SKU060,77,83.85673348556814,76.0
2025-11-17,SKU061,137,154.92336315052336,142.0
