sku_id,week_start,units_sold,revenue,promo_flag,is_holiday,category,season,week_num,month,week_sin,week_cos,lag_1,lag_2,lag_4,lag_8,lag_13,lag_26,lag_52,rolling_mean_4,rolling_mean_8,rolling_std_8
SKU001,2024-07-29,4,33265.68,0,0,Furniture,Summer,31,7,-0.5680647467311556,-0.8229838658936565,,,,,,,,,,0.0
SKU001,2024-08-05,15,134803.79,0,0,Furniture,Summer,32,8,-0.663122658240795,-0.7485107481711013,4.0,,,,,,,,,0.0
SKU001,2024-08-12,15,130341.41,0,1,Furniture,Summer,33,8,-0.7485107481711011,-0.6631226582407952,15.0,4.0,,,,,,,,0.0
SKU001,2024-08-19,21,180955.95,0,0,Furniture,Summer,34,8,-0.8229838658936564,-0.5680647467311559,15.0,15.0,,,,,,,,0.0
SKU001,2024-08-26,16,139867.1,0,0,Furniture,Summer,35,8,-0.8854560256532096,-0.4647231720437691,21.0,15.0,4.0,,,,,13.75,,0.0
SKU001,2024-09-02,11,97303.27,0,0,Furniture,Autumn,36,9,-0.9350162426854147,-0.3546048870425359,16.0,21.0,15.0,,,,,16.75,,0.0
SKU001,2024-09-09,14,126966.92,0,0,Furniture,Autumn,37,9,-0.970941817426052,-0.23931566428755774,11.0,16.0,15.0,,,,,15.75,,0.0
SKU001,2024-09-16,15,133616.38,0,0,Furniture,Autumn,38,9,-0.992708874098054,-0.12053668025532357,14.0,11.0,21.0,,,,,15.5,,0.0
SKU001,2024-09-23,14,122236.29000000001,0,0,Furniture,Autumn,39,9,-1.0,-1.8369701987210297e-16,15.0,14.0,16.0,4.0,,,,14.0,13.875,4.853202182948021
SKU001,2024-09-30,18,157346.47,0,0,Furniture,Autumn,40,9,-0.992708874098054,0.1205366802553232,14.0,15.0,11.0,15.0,,,,13.5,15.125,2.799872446074234
SKU001,2024-10-07,19,164316.57,0,0,Furniture,Autumn,41,10,-0.9709418174260521,0.23931566428755738,18.0,14.0,14.0,15.0,,,,15.25,15.5,2.97609523657138
SKU001,2024-10-14,13,114769.65,1,0,Furniture,Autumn,42,10,-0.9350162426854148,0.35460488704253557,19.0,18.0,15.0,21.0,,,,16.5,16.0,3.207134902949093
SKU001,2024-10-21,24,210149.66,1,0,Furniture,Autumn,43,10,-0.8854560256532101,0.464723172043768,13.0,19.0,14.0,16.0,,,,16.0,15.0,2.618614682831909
SKU001,2024-10-28,18,156224.13,1,1,Furniture,Autumn,44,10,-0.822983865893657,0.5680647467311548,24.0,13.0,18.0,11.0,4.0,,,18.5,16.0,4.140393356054125
SKU001,2024-11-04,12,104341.44,1,0,Furniture,Autumn,45,11,-0.7485107481711011,0.6631226582407952,18.0,24.0,19.0,14.0,15.0,,,18.5,16.875,3.6425069859723185
SKU001,2024-11-11,18,158451.4,0,0,Furniture,Autumn,46,11,-0.6631226582407955,0.7485107481711007,12.0,18.0,13.0,15.0,15.0,,,16.75,16.625,3.925648263117098
SKU001,2024-11-18,16,141696.16,1,0,Furniture,Autumn,47,11,-0.5680647467311559,0.8229838658936564,18.0,12.0,24.0,14.0,21.0,,,18.0,17.0,3.8913824205360674
SKU001,2024-11-25,23,200665.81,1,0,Furniture,Autumn,48,11,-0.4647231720437684,0.88545602565321,16.0,18.0,18.0,18.0,16.0,,,16.0,17.25,3.732100136460895
SKU001,2024-12-02,16,139981.19,0,0,Furniture,Winter,49,12,-0.35460488704253595,0.9350162426854147,23.0,16.0,12.0,19.0,11.0,,,17.25,17.875,4.257346591481601
SKU001,2024-12-09,18,157152.11,0,0,Furniture,Winter,50,12,-0.2393156642875578,0.970941817426052,16.0,23.0,18.0,13.0,14.0,,,18.25,17.5,4.27617987059879
SKU001,2024-12-16,15,129590.86,1,0,Furniture,Winter,51,12,-0.12053668025532363,0.992708874098054,18.0,16.0,16.0,24.0,15.0,,,18.25,18.125,3.870677312453579
SKU001,2024-12-23,21,184552.76,1,1,Furniture,Winter,52,12,6.432490598706546e-16,1.0,15.0,18.0,23.0,18.0,14.0,,,18.0,17.0,3.1622776601683795
SKU001,2024-12-30,26,226173.96,1,1,Furniture,Winter,1,12,0.12053668025532305,0.992708874098054,21.0,15.0,16.0,12.0,18.0,,,17.5,17.375,3.4615231989895516
SKU001,2025-01-06,11,95009.72,1,0,Furniture,Winter,2,1,0.23931566428755774,0.970941817426052,26.0,21.0,18.0,18.0,19.0,,,20.0,19.125,3.870677312453579
SKU001,2025-01-13,23,199780.84999999998,0,0,Furniture,Winter,3,1,0.3546048870425356,0.9350162426854148,11.0,26.0,15.0,16.0,13.0,,,18.25,18.25,4.832922806867792
SKU001,2025-01-20,12,106366.06,0,0,Furniture,Winter,4,1,0.4647231720437685,0.8854560256532099,23.0,11.0,21.0,23.0,24.0,,,20.25,19.125,4.998213966722799
SKU001,2025-01-27,14,122970.43,0,0,Furniture,Winter,5,1,0.5680647467311558,0.8229838658936564,12.0,23.0,26.0,16.0,18.0,4.0,,18.0,17.75,5.2847489465982616
SKU001,2025-02-03,13,114908.54,0,0,Furniture,Winter,6,2,0.6631226582407952,0.7485107481711011,14.0,12.0,11.0,18.0,12.0,15.0,,15.0,17.5,5.424810727442151
SKU001,2025-02-10,22,195563.63,0,0,Furniture,Winter,7,2,0.7485107481711011,0.6631226582407953,13.0,14.0,23.0,15.0,18.0,15.0,,15.5,16.875,5.642631098546645
